execution_position,execution_pass,benchmark_rank,source_image_id,model,timing_type,count,mean,median,std,min,max
71,PASS_B_SEGMENTER_FIRST,15,9uyGbpRuvoK6FWsiIhGx,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.088797,7.0497,0.16076,6.8667,7.7264
72,PASS_B_SEGMENTER_FIRST,16,qm0fl8ee3HpSLSCrrqDG,S1,MODEL_INFERENCE_LATENCY_MS,30,5.40317,5.11865,1.218047,4.9663,11.6681
72,PASS_B_SEGMENTER_FIRST,16,qm0fl8ee3HpSLSCrrqDG,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,10.428127,8.5092,3.42847,8.1872,16.8373
73,PASS_B_SEGMENTER_FIRST,16,qm0fl8ee3HpSLSCrrqDG,D2,MODEL_INFERENCE_LATENCY_MS,30,5.922783,4.4648,2.391544,4.2341,10.8517
73,PASS_B_SEGMENTER_FIRST,16,qm0fl8ee3HpSLSCrrqDG,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.177567,7.268,2.137723,6.9778,14.4698
74,PASS_B_SEGMENTER_FIRST,17,HvvG43BEgtvO5Az8qBX5,S1,MODEL_INFERENCE_LATENCY_MS,30,5.164867,5.16815,0.076477,4.9757,5.333
74,PASS_B_SEGMENTER_FIRST,17,HvvG43BEgtvO5Az8qBX5,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,11.163177,10.31645,2.120849,9.7504,18.4129
75,PASS_B_SEGMENTER_FIRST,17,HvvG43BEgtvO5Az8qBX5,D2,MODEL_INFERENCE_LATENCY_MS,30,9.345873,9.7084,0.889428,7.7314,10.6624
75,PASS_B_SEGMENTER_FIRST,17,HvvG43BEgtvO5Az8qBX5,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,10.98765,12.8732,3.148084,6.9997,14.333
76,PASS_B_SEGMENTER_FIRST,18,hsfBHYazMXnS3WJlQzR7,S1,MODEL_INFERENCE_LATENCY_MS,30,11.356773,11.28965,0.220019,11.0388,11.8854
76,PASS_B_SEGMENTER_FIRST,18,hsfBHYazMXnS3WJlQzR7,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,12.80106,10.2545,3.848165,9.0345,17.4233
77,PASS_B_SEGMENTER_FIRST,18,hsfBHYazMXnS3WJlQzR7,D2,MODEL_INFERENCE_LATENCY_MS,30,4.479843,4.48215,0.073413,4.357,4.692
77,PASS_B_SEGMENTER_FIRST,18,hsfBHYazMXnS3WJlQzR7,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.377633,7.2683,0.427982,6.8315,8.8584
78,PASS_B_SEGMENTER_FIRST,19,EdR5Rau43iqKaPKbjsHM,S1,MODEL_INFERENCE_LATENCY_MS,30,7.220773,5.27075,2.988006,5.0377,12.0828
78,PASS_B_SEGMENTER_FIRST,19,EdR5Rau43iqKaPKbjsHM,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.85434,8.3624,1.711227,8.106,16.5751
79,PASS_B_SEGMENTER_FIRST,19,EdR5Rau43iqKaPKbjsHM,D2,MODEL_INFERENCE_LATENCY_MS,30,4.318367,4.31095,0.075029,4.1543,4.4754
79,PASS_B_SEGMENTER_FIRST,19,EdR5Rau43iqKaPKbjsHM,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,7.171653,7.16435,0.152305,6.9149,7.5304
